Indirizzo;Attiva;ZonaDec;Longitudine;Latitudine;Location
Gorizia/Mortara;1;1;9.173351;45.454486;45.454486, 9.173351
Colombo/Coni Zugna;1;1;9.172393;45.455201;45.455201, 9.172393
Colombo/Alessandria;1;1;9.17147;45.454336;45.454336, 9.17147
Stazione di Porta Genova;1;1;9.170038;45.453401;45.453401, 9.170038
Valenza/Casale;1;1;9.169936;45.452283;45.452283, 9.169936
Vigevano Scuola/Corsico;1;1;9.173471;45.452938;45.452938, 9.173471
Vigevano/Alessandria;1;1;9.172189;45.453098;45.453098, 9.172189
Ripa di Porta Ticinese civico 15 (circa);1;1;9.175525;45.451822;45.451822, 9.175525
Alzaia Naviglio Grande Scuola/Lavandaia;1;1;9.173911;45.4517;45.4517, 9.173911
Ripa di Porta Ticinese civico 45/Argelati;1;1;9.171411;45.45097;45.45097, 9.171411
Alzaia Naviglio Grande/Casale;1;1;9.171191;45.451154;45.451154, 9.171191
Alzaia Naviglio Grande civico 66/68;1;1;9.169773;45.450853;45.450853, 9.169773
Alzaia Naviglio Grande/Valenza;1;1;9.167967;45.450452;45.450452, 9.167967
Alzaia Naviglio Pavese/Gorizia;1;1;9.177867;45.45221;45.45221, 9.177867
Ascanio Sforza/Bettinelli;1;1;9.177819;45.451848;45.451848, 9.177819
Ascanio Sforza civico 11;1;1;9.177623;45.450881;45.450881, 9.177623
Ascanio Sforza civico 21;1;1;9.177891;45.450729;45.450729, 9.177891
Ascanio Sforza/Lagrange;1;1;9.177486;45.448932;45.448932, 9.177486
Alzaia Naviglio Pavese/Borsi;1;1;9.176832;45.447571;45.447571, 9.176832
San Gottardo/XXIV Maggio;1;1;9.180179;45.451967;45.451967, 9.180179
San Gottardo civico 7;1;1;9.180059;45.451015;45.451015, 9.180059
San Gottardo civico 19;1;1;9.179945;45.450076;45.450076, 9.179945
San Gottardo/Lagrange;1;1;9.179661;45.448798;45.448798, 9.179661
San Gottardo/Tabacchi;1;1;9.179447;45.447285;45.447285, 9.179447
XXIV Maggio/Chiosco ATM;1;1;9.179693;45.452082;45.452082, 9.179693
XXIV Maggio/Col di Lana;1;1;9.180705;45.452402;45.452402, 9.180705
XXIV Maggio/Corso di Porta Ticinese;1;1;9.179725;45.453004;45.453004, 9.179725
Via Cusani;1;1;9.1851705;45.4690312;45.4690312, 9.1851705
Mercato Papiniano;1;1;9.1701722;45.4577075;45.4577075, 9.1701722
Bastioni di Porta Volta;1;1;9.1819954;45.4798434;45.4798434, 9.1819954
Giardini Aldo Protti;1;2;9.198428;45.491337;45.491337, 9.198428
Giardini Cassina de Pomm / via Tirano;1;2;9.209286;45.497188;45.497188, 9.209286
Giardini Cislaghi;1;2;9.230108;45.512757;45.512757, 9.230108
Giardini Erodoto;1;2;9.222939;45.508738;45.508738, 9.222939
Giardini Gregor Mendel;1;2;9.196923;45.489634;45.489634, 9.196923
Giardini Tremelloni;1;2;9.233025;45.513294;45.513294, 9.233025
Giardini Via Anassagora;1;2;9.231139;45.514841;45.514841, 9.231139
Parco Ex Trotter;1;2;9.224257;45.494088;45.494088, 9.224257
Parco Panza;1;2;9.223362;45.521594;45.521594, 9.223362
Piazza Caiazzo;1;2;9.209685;45.485391;45.485391, 9.209685
Piazza Duca D'aosta;1;2;9.203007;45.484578;45.484578, 9.203007
Piazza IV Novembre;1;2;9.202309;45.486892;45.486892, 9.202309
Piazza Precotto;1;2;9.224579;45.512351;45.512351, 9.224579
Piazzale Bacone;1;2;9.214502;45.480535;45.480535, 9.214502
Piazzale Loreto;1;2;9.216821;45.486158;45.486158, 9.216821
Stazione M1 Gorla;1;2;9.222485;45.506214;45.506214, 9.222485
Stazione M2 Cimiano;1;2;9.241251;45.499905;45.499905, 9.241251
Stazione M2 Crescenzago;1;2;9.24831;45.505255;45.505255, 9.24831
Via De Marchi 66;1;2;9.21205;45.504136;45.504136, 9.21205
Via Dei Transiti;1;2;9.220571;45.490676;45.490676, 9.220571
Via Deledda 9/a;1;2;9.215968;45.487594;45.487594, 9.215968
Via Ferrante Aporti 3;1;2;9.211686;45.491625;45.491625, 9.211686
Via G.B. Sammartini 71;1;2;9.211819;45.495225;45.495225, 9.211819
Via Padova 118;1;2;9.229722;45.495934;45.495934, 9.229722
Via Sant'Elembardo 4;1;2;9.220181;45.505034;45.505034, 9.220181
Via Tarabella 4;1;2;9.234681;45.495803;45.495803, 9.234681
Via Tarvisio 13;1;2;9.207297;45.49778;45.49778, 9.207297
Via Trasimeno 41;1;2;9.248834;45.514624;45.514624, 9.248834
Viale Don Luigi Orione 19;1;2;9.238433;45.50082;45.50082, 9.238433
Viale Zara 100;1;2;9.195876;45.497359;45.497359, 9.195876
Piazza Carbonari;1;2;9.199569;45.492946;45.492946, 9.199569
Via dei Valtorta/ Parco Martesana;1;2;9.23064;45.500422;45.500422, 9.23064
Via Lomellina. 35;1;2;9.230082;45.465834;45.465834, 9.230082
Via Giovanni Schiapparelli. 9;1;2;9.204311;45.489772;45.489772, 9.204311
viale Zara 23;1;2;9.192421;45.49242;45.49242, 9.192421
Via dei Transiti.28;1;2;9.2186451;45.4913067;45.4913067, 9.2186451
Via Ranzato;1;2;9.2261875;45.5082943;45.5082943, 9.2261875
Viale Monza 338/Sesto Marelli;1;2;9.2280006;45.5227061;45.5227061, 9.2280006
Piazza della Repubblica;1;2;9.1978097;45.4795876;45.4795876, 9.1978097
Largo Tel Aviv;1;2;9.2343521;45.4981956;45.4981956, 9.2343521
Corso Buenos Aires - Petrella / Scarlatti;1;3;9.212379;45.481916;45.481916, 9.212379
Piazza Argentina;1;3;9.214995;45.484241;45.484241, 9.214995
Piazza Bottini;1;3;9.236046;45.48467;45.48467, 9.236046
Piazza Caduti e Dispersi in Russia 1;1;3;9.254479;45.490952;45.490952, 9.254479
Piazza Leonardo da Vinci;1;3;9.225449;45.478151;45.478151, 9.225449
Piazza Lima;1;3;9.21096;45.480231;45.480231, 9.21096
Piazza Piola;1;3;9.223701;45.480306;45.480306, 9.223701
Piazza Rimembranze di Lambrate;1;3;9.241004;45.482409;45.482409, 9.241004
Piazza Udine;1;3;9.236923;45.491069;45.491069, 9.236923
Stazione M2 Gobba;1;3;9.260462;45.511207;45.511207, 9.260462
via Boscovich Ruggero 42;1;3;9.206674;45.480466;45.480466, 9.206674
via Olgettina 60;1;3;9.266269;45.504707;45.504707, 9.266269
via Paolo Frisi 2/4;1;3;9.208633;45.474948;45.474948, 9.208633
via Piccinni 8;1;3;9.21511;45.482645;45.482645, 9.21511
via Ponzio 1;1;3;9.230052;45.474671;45.474671, 9.230052
via Ponzio 35;1;3;9.229975;45.480681;45.480681, 9.229975
via Rizzoli (MM Crescenzago);1;3;9.249789;45.505557;45.505557, 9.249789
via Tommaso Pini 1;1;3;9.2411;45.485119;45.485119, 9.2411
viale Tunisia/Piazza santa Francesca Romana;1;3;9.208215;45.476353;45.476353, 9.208215
via Valvassori Peroni 56;1;3;9.236612;45.478864;45.478864, 9.236612
viale Vincent Van Gogh 10;1;3;9.252391;45.494566;45.494566, 9.252391
Piazza San Materno;1;3;9.226477;45.488524;45.488524, 9.226477
Piazza Pietro Gobetti;1;3;9.23403;45.485515;45.485515, 9.23403
Via Boves;1;3;9.2367474;45.4956353;45.4956353, 9.2367474
Piazza Risorgimento;1;3;9.2107916;45.4680166;45.4680166, 9.2107916
Via Saldini Cesare;1;3;9.227373;45.4727529;45.4727529, 9.227373
Mercato Via B.Marcello;1;3;9.2076749;45.4808552;45.4808552, 9.2076749
Piazzale Bacone;1;3;9.2143207;45.4804228;45.4804228, 9.2143207
Corso Buenos Aires.33;1;3;9.2096329;45.4794522;45.4794522, 9.2096329
Piazzale Lavater;1;3;9.2105985;45.4765935;45.4765935, 9.2105985
Corso XXII Marzo 16;1;4;9.210202;45.462091;45.462091, 9.210202
Giardini Marinai D'italia;1;4;9.215553;45.460943;45.460943, 9.215553
Parco Alessandrini;1;4;9.243997;45.443709;45.443709, 9.243997
Piazza Emilia;1;4;9.216631;45.462427;45.462427, 9.216631
Piazza Grandi;1;4;9.220673;45.462417;45.462417, 9.220673
Piazza Medaglie D'oro;1;4;9.202112;45.452187;45.452187, 9.202112
Piazzale Gabrio Rosa;1;4;9.224287;45.43755;45.43755, 9.224287
Piazzale Insubria;1;4;9.220581;45.452722;45.452722, 9.220581
Piazzale Lodi;1;4;9.21018;45.447207;45.447207, 9.21018
Piazzale Martini;1;4;9.220357;45.456785;45.456785, 9.220357
Quartiere Ponte Lambro - via Ucelli di Nemi;1;4;9.263919;45.442782;45.442782, 9.263919
Stazione FS Rogoredo;1;4;9.239003;45.433276;45.433276, 9.239003
Stazione M3 Brenta;1;4;9.21847;45.442308;45.442308, 9.21847
Stazione M3 Corvetto;1;4;9.223581;45.439856;45.439856, 9.223581
Stazione M3 San Donato;1;4;9.256222;45.429128;45.429128, 9.256222
via Cesare Lombroso 54;1;4;9.234814;45.456206;45.456206, 9.234814
via dei Cinquecento 19;1;4;9.220681;45.435182;45.435182, 9.220681
via dei Panigarola 14;1;4;9.222478;45.435798;45.435798, 9.222478
via Fiamma Galvano 7;1;4;9.211362;45.463173;45.463173, 9.211362
via Friuli 30;1;4;9.211788;45.452447;45.452447, 9.211788
via l'Aquila 81;1;4;9.251632;45.467711;45.467711, 9.251632
via Oglio.18;1;4;9.218255;45.44029;45.44029, 9.218255
via Parea 26;1;4;9.263285;45.442917;45.442917, 9.263285
via San Martino Don Carlo 10;1;4;9.235098;45.468091;45.468091, 9.235098
via Taverna;1;4;9.25649;45.466883;45.466883, 9.25649
via Ungheria 29;1;4;9.25531;45.447201;45.447201, 9.25531
via Zante 36;1;4;9.247413;45.458612;45.458612, 9.247413
viale Corsica - via Negroli;1;4;9.232364;45.462233;45.462233, 9.232364
viale Puglie 33;1;4;9.223719;45.450061;45.450061, 9.223719
Via Elio Vittorini;1;4;9.261668;45.442459;45.442459, 9.261668
Piazza Ovidio;1;4;9.240832;45.45706;45.45706, 9.240832
Via Fabio Massimo - Campo sportivo;1;4;9.230726;45.434614;45.434614, 9.230726
Via Forlanini - Via Alfonso Gatto;1;4;9.238708;45.462057;45.462057, 9.238708
via Mincio 23/Piazzale Ferrara;1;4;9.219444;45.438256;45.438256, 9.219444
Via Mondolfo.7;1;4;9.2543507;45.446719;45.446719, 9.2543507
Parco Morosini;1;4;9.2113769;45.4610199;45.4610199, 9.2113769
Viale Umbria. 62;1;4;9.216671;45.4560367;45.4560367, 9.216671
Via Cadibona/Monte Velino;1;4;9.2292988;45.4533123;45.4533123, 9.2292988
Viale Puglie. 4;1;4;9.22428;45.44476;45.44476, 9.22428
Via Comelico. 39;1;4;9.2145832;45.4542363;45.4542363, 9.2145832
Viale Campania;1;4;9.2238034;45.4660639;45.4660639, 9.2238034
Giardini piazza Carrara;1;5;9.175358;45.437931;45.437931, 9.175358
Giardini via Aicardo;1;5;9.185692;45.439988;45.439988, 9.185692
Giardini viale Cermenate;1;5;9.180797;45.437549;45.437549, 9.180797
Largo Albe Steiner;1;5;9.183669;45.439432;45.439432, 9.183669
Parco Baravalle;1;5;9.183488;45.446723;45.446723, 9.183488
Parco Chiesa Rossa;0;5;9.173877;45.430769;45.430769, 9.173877
Piazza Abbiategrasso;1;5;9.178028;45.4299;45.4299, 9.178028
Piazza Agrippa 12;1;5;9.183856;45.433192;45.433192, 9.183856
via Boifava 17;1;5;9.175081;45.426968;45.426968, 9.175081
via Custodi 13;1;5;9.182283;45.449472;45.449472, 9.182283
via Fra Cristoforo 6;1;5;9.171908;45.434424;45.434424, 9.171908
via Michele Saponaro 26;1;5;9.173992;45.408288;45.408288, 9.173992
via Michele Saponaro 30;1;5;9.1736;45.40795;45.40795, 9.1736
via Palmieri 20;1;5;9.177434;45.434961;45.434961, 9.177434
via Romeo Nicola 14;1;5;9.180361;45.417778;45.417778, 9.180361
via San Domenico Savio 3;1;5;9.174133;45.430069;45.430069, 9.174133
via Sant'Arialdo;1;5;9.231219;45.413559;45.413559, 9.231219
via Tabacchi 15a;1;5;9.18185;45.447569;45.447569, 9.18185
Borgo Chiaravalle;1;5;9.23727;45.418019;45.418019, 9.23727
Quartiere Basmetto -Via Chiesa Rossa 265;1;5;9.16292;45.414117;45.414117, 9.16292
via Gratosoglio 63;1;5;9.171138;45.412973;45.412973, 9.171138
via Fabrizio de Andrè/via dei Missaglia 46/3;1;5;9.177057;45.422979;45.422979, 9.177057
Piazzale Madonna di Fatima. 1;1;5;9.2040002;45.4295924;45.4295924, 9.2040002
Via Dudovich Marcello;1;5;9.1795921;45.4282145;45.4282145, 9.1795921
Via Ulisse Dini;1;5;9.1795921;45.4287566;45.4287566, 9.1795921
Via Ripamonti.156;1;5;9.2005348;45.4360447;45.4360447, 9.2005348
Piazza Caduti del Lavoro;1;5;9.1848063;45.4432715;45.4432715, 9.1848063
Via Brembo;1;5;9.2086342;45.4446789;45.4446789, 9.2086342
Via Giovanni Spadolini;1;5;9.1939018;45.4432683;45.4432683, 9.1939018
CAM via La Spezia;1;6;9.171532;45.439035;45.439035, 9.171532
Largo Ascari;1;6;9.167775;45.443618;45.443618, 9.167775
Parco Solari;1;6;9.165663;45.457783;45.457783, 9.165663
Piazza Napoli;1;6;9.15371;45.453102;45.453102, 9.15371
Piazza Sant' Agostino;1;6;9.169898;45.45841;45.45841, 9.169898
Piazza Stovani Cesare 3;1;6;9.09258;45.460626;45.460626, 9.09258
Piazza Tirana;1;6;9.129504;45.443799;45.443799, 9.129504
Piazzale Bande Nere;1;6;9.137106;45.46138;45.46138, 9.137106
Piscina Argelati;1;6;9.172563;45.449568;45.449568, 9.172563
Stazione M2 Famagosta;1;6;9.169008;45.437108;45.437108, 9.169008
via Barsanti;1;6;9.166544;45.449436;45.449436, 9.166544
via Bergognone 30;1;6;9.164309;45.452624;45.452624, 9.164309
via Boffalora 109;1;6;9.150589;45.431197;45.431197, 9.150589
via Boffalora 116;1;6;9.149912;45.433064;45.433064, 9.149912
via Giambellino 56;1;6;9.146568;45.450117;45.450117, 9.146568
via Giambellino 122;1;6;9.137596;45.447773;45.447773, 9.137596
via Giambellino - via Bellini;1;6;9.144227;45.449399;45.449399, 9.144227
via di Rudini 3;1;6;9.1596;45.432799;45.432799, 9.1596
via di Rudini 8;1;6;9.158867;45.433142;45.433142, 9.158867
via Enrico De Nicola 3;1;6;9.156972;45.431065;45.431065, 9.156972
via Odazio;1;6;9.134817;45.447302;45.447302, 9.134817
via Odazio Emanuele 9;1;6;9.13406;45.447517;45.447517, 9.13406
via San Paolino 18;1;6;9.163096;45.430927;45.430927, 9.163096
via Savona 99;1;6;9.150802;45.449906;45.449906, 9.150802
via Solari Andrea 40;1;6;9.159878;45.454291;45.454291, 9.159878
viale Faenza 29;1;6;9.150786;45.436794;45.436794, 9.150786
viale Legioni Romane 54;1;6;9.127528;45.459231;45.459231, 9.127528
Via San Paolino. 20;1;6;9.163477;45.430323;45.430323, 9.163477
Piazzale Giovanni De Agostini. 1;1;6;9.156504;45.458008;45.458008, 9.156504
Piazzale Negrelli;1;6;9.139037;45.443904;45.443904, 9.139037
Via San Paolino. 4/a;1;6;9.164851;45.433861;45.433861, 9.164851
via Zurigo 28;1;6;9.117467;45.456372;45.456372, 9.117467
via Delle Margherite;1;6;9.125599;45.455216;45.455216, 9.125599
via Privata Gonin Francesco 25/Giardino Gonin Giordani;1;6;9.123749;45.442955;45.442955, 9.123749
via dei Gaggioli/largo Fatima;1;6;9.131092;45.449003;45.449003, 9.131092
Piazzale Frattini;1;6;9.1422558;45.4518974;45.4518974, 9.1422558
Via Dionigi Bussola;1;6;9.15821;45.4457348;45.4457348, 9.15821
Via Campari Davide / Parco Teramo Barona;1;6;9.1448736;45.4354424;45.4354424, 9.1448736
Via Borsi/Gola;1;6;9.1751933;45.4489319;45.4489319, 9.1751933
Via Berna;1;6;9.1241589;45.4578412;45.4578412, 9.1241589
Via del Cardellino;1;6;9.1220948;45.4516349;45.4516349, 9.1220948
Parco delle Cave;1;7;9.099953;45.469422;45.469422, 9.099953
Piazza Axum;1;7;9.123292;45.47604;45.47604, 9.123292
Piazza Buonarroti;1;7;9.155193;45.47068;45.47068, 9.155193
Piazza De Angeli;1;7;9.1495;45.466709;45.466709, 9.1495
Piazza Esquilino;1;7;9.133481;45.475842;45.475842, 9.133481
Piazza Piemonte;1;7;9.155206;45.466766;45.466766, 9.155206
Piazzale dello Sport;1;7;9.126486;45.480217;45.480217, 9.126486
Piazzale Gambara;1;7;9.142928;45.464948;45.464948, 9.142928
Piazzale Segesta;1;7;9.137648;45.475917;45.475917, 9.137648
Piazzale Segesta 11;1;7;9.137192;45.476378;45.476378, 9.137192
Stadio  S. Siro Parcheggio;1;7;9.120551;45.478534;45.478534, 9.120551
Stazione M1 Bisceglie;1;7;9.113728;45.45529;45.45529, 9.113728
Stazione M1 Pagano;1;7;9.160429;45.468478;45.468478, 9.160429
Stazione M1 Wagner;1;7;9.154983;45.467803;45.467803, 9.154983
via Albenga 2;1;7;9.119455;45.473932;45.473932, 9.119455
via Amantea;1;7;9.085729;45.465504;45.465504, 9.085729
via Anselmo Da Baggio;1;7;9.089318;45.463645;45.463645, 9.089318
via Anselmo da Baggio 55;1;7;9.086894;45.463827;45.463827, 9.086894
via Caprilli / Palatino;1;7;9.130041;45.48015;45.48015, 9.130041
via Cimarosa Domenico 1;1;7;9.159319;45.46631;45.46631, 9.159319
via dei Rospigliosi;1;7;9.128045;45.476045;45.476045, 9.128045
via delle Betulle 39;1;7;9.078505;45.454336;45.454336, 9.078505
via delle Forze Armate 212;1;7;9.112468;45.460465;45.460465, 9.112468
via Diomede;1;7;9.139877;45.478614;45.478614, 9.139877
via Don Gnocchi 25;1;7;9.124821;45.472518;45.472518, 9.124821
via Fetonte;1;7;9.122887;45.480177;45.480177, 9.122887
via Lamennais 21;1;7;9.113063;45.473763;45.473763, 9.113063
via Luigi Sacco 14;1;7;9.151897;45.465418;45.465418, 9.151897
via Mosca Antonio 180;1;7;9.069759;45.451054;45.451054, 9.069759
via Muggiano 9;1;7;9.069798;45.448634;45.448634, 9.069798
via Nicolini;1;7;9.125286;45.478057;45.478057, 9.125286
via Noale 1;1;7;9.085037;45.458449;45.458449, 9.085037
via Osteno 2/a;1;7;9.113458;45.460573;45.460573, 9.113458
via Paravia 26;1;7;9.131043;45.471287;45.471287, 9.131043
via Pio II 3;1;7;9.112952;45.470106;45.470106, 9.112952
via Pistoia 10;1;7;9.090305;45.463154;45.463154, 9.090305
via Valsesia 96;1;7;9.093981;45.456608;45.456608, 9.093981
viale Caprilli;1;7;9.133916;45.479847;45.479847, 9.133916
Via Fleming. 15;1;7;9.119253;45.468618;45.468618, 9.119253
Piazza Bettini Lionello;1;7;9.133308;45.462734;45.462734, 9.133308
via Molinetto di Lorenteggio 49 - Capolinea 14;1;7;9.116571;45.441702;45.441702, 9.116571
Mercato Via Osoppo;1;7;9.1435432;45.4695477;45.4695477, 9.1435432
Via Pacifico Arcangeli;1;7;9.1115284;45.475134;45.475134, 9.1115284
Via Tonezza. 5;1;7;9.1313404;45.4621219;45.4621219, 9.1313404
P.zza Olivelli;1;7;9.1166854;45.4606531;45.4606531, 9.1166854
Via Arioli Venegoni;1;7;9.111727;45.4682318;45.4682318, 9.111727
area Mambretti / Fabrizi;1;8;9.131803;45.509956;45.509956, 9.131803
Fabbrica del Vapore via Procaccini 4;1;8;9.175439;45.484003;45.484003, 9.175439
Parco via Croce/ Omodeo;1;8;9.117749;45.494228;45.494228, 9.117749
Parco Villa Scheibler;1;8;9.133465;45.516234;45.516234, 9.133465
Piazza Amendola;1;8;9.151051;45.474034;45.474034, 9.151051
Piazza Cimitero Maggiore;1;8;9.121848;45.503512;45.503512, 9.121848
Piazza Santa Maria Nascente;1;8;9.136353;45.48611;45.48611, 9.136353
Piazza Turr Stefano 2;1;8;9.152715;45.48382;45.48382, 9.152715
Piazzale Accursio;1;8;9.145279;45.492521;45.492521, 9.145279
Piazzale Accursio 5;1;8;9.146084;45.491677;45.491677, 9.146084
Piazzale Cimitero Maggiore 18;1;8;9.122078;45.50423;45.50423, 9.122078
Piazzale Cimitero Monumentale (Farini);1;8;9.181185;45.485826;45.485826, 9.181185
Piazzale Cimitero Monumentale 2;1;8;9.179506;45.484871;45.484871, 9.179506
Piazzale Lotto;1;8;9.142717;45.479987;45.479987, 9.142717
Piscina Lido;1;8;9.141055;45.481895;45.481895, 9.141055
Stazione M1 Bonola;1;8;9.111069;45.496437;45.496437, 9.111069
Stazione M1 Lampugnano;1;8;9.126961;45.489375;45.489375, 9.126961
Stazione M1 Molino Dorino;1;8;9.093308;45.505086;45.505086, 9.093308
via Aldini 72;1;8;9.131646;45.511843;45.511843, 9.131646
via Barzaghi 2;1;8;9.121965;45.506672;45.506672, 9.121965
via Carbonia 7;1;8;9.130646;45.515477;45.515477, 9.130646
via Colleoni Bartolomeo 8;1;8;9.154248;45.483092;45.483092, 9.154248
via Degli Appennini 147/a;1;8;9.101201;45.50455;45.50455, 9.101201
via della Pecetta 29;1;8;9.162;45.495225;45.495225, 9.162
via Ferdinando Giorgi 31;1;8;9.105809;45.49088;45.49088, 9.105809
via ferrario grugnola rosina 3;1;8;9.147447;45.499924;45.499924, 9.147447
via Gavirate / De Vincenti;1;8;9.140949;45.477508;45.477508, 9.140949
via Grassi Giovanni Battista 74;1;8;9.123095;45.51523;45.51523, 9.123095
via Ippodromo 30;1;8;9.123236;45.485754;45.485754, 9.123236
